==1330== NVPROF is profiling process 1330, command: ../../bin/mcx -A -g 10 -n 1e6 -f qtest.inp -s qtest -r 1 -a 0 -b 0 -G 1 -D P
==1330== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1330== Profiling application: ../../bin/mcx -A -g 10 -n 1e6 -f qtest.inp -s qtest -r 1 -a 0 -b 0 -G 1 -D P
==1330== Profiling result:
==1330== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"sm_efficiency","Multiprocessor Activity",98.110513%,98.110513%,98.110513%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"achieved_occupancy","Achieved Occupancy",0.345524,0.345524,0.345524
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"ipc","Executed IPC",2.948113,2.948113,2.948113
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"issued_ipc","Issued IPC",2.939203,2.939203,2.939203
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_per_warp","Instructions per warp",10181043.036458,10181043.036458,10181043.036458
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"branch_efficiency","Branch Efficiency",99.316808%,99.316808%,99.316808%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"warp_execution_efficiency","Warp Execution Efficiency",44.259728%,44.259728%,44.259728%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",42.004342%,42.004342%,42.004342%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"issue_slot_utilization","Issue Slot Utilization",65.017471%,65.017471%,65.017471%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.638807,2.638807,2.638807
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.344431,2.344431,2.344431
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"gld_transactions_per_request","Global Load Transactions Per Request",19.428208,19.428208,19.428208
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"gst_transactions_per_request","Global Store Transactions Per Request",3.040897,3.040897,3.040897
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"shared_store_transactions","Shared Store Transactions",77106138,77106138,77106138
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"shared_load_transactions","Shared Load Transactions",191109794,191109794,191109794
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"gld_transactions","Global Load Transactions",201001693,201001693,201001693
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"gst_transactions","Global Store Transactions",33757,33757,33757
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"dram_read_transactions","Device Memory Read Transactions",209993,209993,209993
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"dram_write_transactions","Device Memory Write Transactions",13255755,13255755,13255755
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"global_hit_rate","Global Hit Rate",1.358529%,1.358529%,1.358529%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"gld_requested_throughput","Requested Global Load Throughput",1.207682GB/s,1.207682GB/s,1.206994GB/s
